Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
C3,0805,1,1uF,
C4,CP_Elec_6.3x5.4,1,100uF,
D1,D_SOD-123,1,BZT52C12,
D2,D_SOD-123F,1,BZT52C51,
"F1, F2",1206,2,750mA,
J1,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,1,043045-0412,
MOLEX1,Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,1,043045-0212,
Q1,SOT-23,1,DMP2035U-7,
Q3,TO-247-3_Horizontal_TabDown,1,UJ3N065080K3S,
Q4,SOT-23,1,DMN2056U,
Q5,SOT-23,1,AO3401A,
R1,0805,1,2k,
"R10, R11, R2, R9",0805,4,240k,
R3,0805,1,2M,
R5,0805,1,5k,
R6,0805,1,5.6k,
R7,0805,1,3k,
R8,0805,1,1k,
U1,DIP-6_W7.62mm,1,H11L1M,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,
