Designator,Mid X,Mid Y,Rotation,Layer
C1,180.9,-104.0,0.0,top
C3,180.75,-95.75,0.0,top
C4,181.5,-111.0,0.0,top
D1,122.85,-101.7,180.0,top
D2,131.6,-93.5,270.0,top
F1,123.8,-88.4,0.0,top
F2,123.8,-95.0,270.0,top
J1,173.8296,-88.5096,90.0,top
MOLEX1,115.85,-95.3,90.0,top
Q1,173.785001,-107.7523,270.0,top
Q3,142.6718,-96.5194,180.0,top
Q4,123.1625,-105.8,90.0,top
Q5,192.08,-95.805,180.0,top
R1,173.5,-112.0,180.0,top
R10,131.5,-106.7,270.0,top
R11,131.2,-110.4,180.0,top
R2,131.4,-98.3,270.0,top
R3,127.0,-109.6,90.0,top
R5,173.5,-114.5,0.0,top
R6,130.1,-85.0,90.0,top
R7,187.5,-101.8,0.0,top
R8,171.25,-101.0,270.0,top
R9,131.5,-102.3,270.0,top
U1,162.81,-100.25,0.0,top
U2,180.25,-100.0,270.0,top
